Resturant,Rating,Review,Cuisine,price
 Vaquero Taquero,4.5,192,Mexican,under $10
 Tacodeli,4,193,Mexican,under $10
 Freebirds World Burrito,3.5,196,Mexican,under $10
 El Huarache,4,197,Mexican,under $10
 Vazquez Restaurant,4,197,Mexican,under $10
 Rosies Tamale House,3.5,202,Mexican,under $10
 Taqueria Morales,4.5,207,Mexican,under $10
 Angies Mexican Restaurant,3,207,Mexican,under $10
 Top Taco,4.5,208,Mexican,under $10
 Freebirds World Burrito,3.5,209,Mexican,under $10
 Kesos Tacos,4,211,Mexican,under $10
 El Chilito,3.5,220,Mexican,under $10
 Freebirds World Burrito,3.5,234,Mexican,under $10
 Zuzu Handmade Mexican Food,3.5,237,Mexican,under $10
 La Tapatia,3,237,Mexican,under $10
 Taco More  Austin,4,239,Mexican,under $10
 Papalote Taco House,4,247,Mexican,under $10
 Macho Taco,4.5,252,Mexican,under $10
 Yummi Tacos and More,4,253,Mexican,under $10
 Pflugerville Taco House,4.5,257,Mexican,under $10
 La Posada Mexican Restaurant,4,261,Mexican,under $10
 Taqueria Arandas,3.5,261,Mexican,under $10
 El Primo,4.5,262,Mexican,under $10
 Kens Subs Tacos and More,4,264,Mexican,under $10
 Chekos,3.5,265,Mexican,under $10
 Mi Ranchito Taqueria,4.5,271,Mexican,under $10
 Torchys Tacos,4,283,Mexican,under $10
 Torchys Tacos,4,652,Mexican,under $10
 Habanero Mexican Cafe,4,682,Mexican,under $10
 Cabo Bobs Burritos,4.5,857,Mexican,under $10
 Torchys Tacos,4,889,Mexican,under $10
 Tysons Tacos,4,895,Mexican,under $10
 Torchys Tacos,4,913,Mexican,under $10
 Torchys Tacos,4,918,Mexican,under $10
 Veracruz All Natural,4.5,952,Mexican,under $10
 Tacodeli,4,1018,Mexican,under $10
 Tacodeli,4.5,1073,Mexican,under $10
 Food Fight Cafe,4,2,Mexican,$11-$30
 Airport Xpress Market,4,4,Mexican,$11-$30
 Daygos San Diego Taco Shop,5,8,Mexican,$11-$30
 Casa Jaliscienses,2.5,8,Mexican,$11-$30
 La Moreliana,3.5,11,Mexican,$11-$30
 Soco Bar and Bites,4,13,Mexican,$11-$30
 JDs Tacos,4.5,13,Mexican,$11-$30
 Eighteenth Over Austin,3,13,Mexican,$11-$30
 Curras Hyde Park,4.5,18,Mexican,$11-$30
 Mi Cabana,3.5,20,Mexican,$11-$30
 Marisco Grill,3.5,22,Mexican,$11-$30
 La Sirena,3.5,22,Mexican,$11-$30
 Los Potrillos,3,22,Mexican,$11-$30
 El Norteno Pollos Asados,4.5,35,Mexican,$11-$30
 Aleidas Restaurant,4.5,36,Mexican,$11-$30
 Techo Mezcaleria and Agave Bar,4.5,42,Mexican,$11-$30
 Los Jarochos,2.5,44,Mexican,$11-$30
 MaCoco,4.5,46,Mexican,$11-$30
 Mariscos Tampico Bar and Grill,2.5,46,Mexican,$11-$30
 Casa Arandinas Mexican bar and Grill,3,48,Mexican,$11-$30
