Resturant,Rating,Review,Cuisine,price
 Trulucks Oceans Finest Seafood and Crab,4.5,616,American,$31-$60
 Emmer and Rye,4,725,American,$31-$60
 Estância Brazilian Steakhouse,4,789,American,$31-$60
 Wink,4,795,American,$31-$60
 Fixe Austins Southern House,4,798,American,$31-$60
 Bartletts,4,823,American,$31-$60
 Fogo De Chao,4,904,American,$31-$60
 Trulucks Oceans Finest Seafood and Crab,4.5,921,American,$31-$60
 Steiner Ranch Steakhouse,3.5,937,American,$31-$60
 Fonda San Miguel,4,966,American,$31-$60
 Swifts Attic,4,1087,American,$31-$60
 Barley Swine,4.5,1134,American,$31-$60
 Justines Brasserie,4,1163,American,$31-$60
 Eddie Vs Prime Seafood,4.5,1223,American,$31-$60
 Perrys Steakhouse and Grille Downtown Austin,4,1250,American,$31-$60
 Perlas,4,1697,American,$31-$60
 Odd Duck,4.5,1900,American,$31-$60
 Los Catrachos,3,15,American,over $61
 J Carvers,4,65,American,over $61
 Simi Estiatorio,3.5,66,American,over $61
 The Driskill Grill,3.5,220,American,over $61
 Jeffreys,4,418,American,over $61
 III Forks,4,517,American,over $61
 BibiBowl,3.5,2,Asian,under $10
 Morales TexMex Food,3,12,Asian,under $10
 Kebab Time,3.5,13,Asian,under $10
 Hair City,4,13,Asian,under $10
 Frydeez,4,26,Asian,under $10
 Pinch,4,27,Asian,under $10
 Mission Dogs,4.5,27,Asian,under $10
 Japan Cafe,2.5,28,Asian,under $10
 El Rancho Supermercado,3.5,31,Asian,under $10
 HEB Grocery,1.5,32,Asian,under $10
 Jay Kelly Hair Studio,4.5,32,Asian,under $10
 Shahi Foods,3,34,Asian,under $10
 Lit Lounge,3.5,36,Asian,under $10
 TJs Seafood,4,36,Asian,under $10
 Lit Lounge,3.5,36,Asian,under $10
 Xiang Yun Tea Room,4.5,37,Asian,under $10
 F and F Fruit Cups,4,37,Asian,under $10
 Panda Express,2.5,56,Asian,under $10
 Moms Taste,4.5,58,Asian,under $10
 Moms Taste,4.5,58,Asian,under $10
 Blue Basil,4.5,60,Asian,under $10
 Cups and Cones,4.5,60,Asian,under $10
 Pho Dinh Vietnamese Cuisine,4,61,Asian,under $10
 Longhorn Chicken,3.5,61,Asian,under $10
 Longhorn Chicken,3.5,61,Asian,under $10
 Sarku Japan,4,62,Asian,under $10
 SnoMo,5,64,Asian,under $10
 Highland,3,65,Asian,under $10
 Matamoros Tacos,4.5,68,Asian,under $10
 Dunkin,2,68,Asian,under $10
